window_start_utc,window_end_utc,device,packet_count,packet_rate,mean_inter_arrival_ms,std_inter_arrival_ms,min_inter_arrival_ms,max_inter_arrival_ms,duplicate_ratio,seq_increment_mean,seq_increment_std,unique_modes,dominant_mode,label
2026-05-15T14:30:32.535Z,2026-05-15T14:31:32.535Z,esp32_2,6,0.1,10649.2,2590.99,6172.0,13486.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:30:34.603Z,2026-05-15T14:31:34.603Z,esp32_3,41,0.6833,1437.22,1188.68,827.0,5965.0,0.878,0.1,0.3,2,REPLAY_ATTACK,REPLAY_ATTACK
2026-05-15T14:30:35.208Z,2026-05-15T14:31:35.208Z,esp32_1,6,0.1,9299.2,3352.37,6096.0,13675.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:30:42.535Z,2026-05-15T14:31:42.535Z,esp32_2,6,0.1,9334.0,2790.23,6172.0,13486.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:30:44.603Z,2026-05-15T14:31:44.603Z,esp32_3,34,0.5667,1731.7,1513.65,827.0,5965.0,0.7941,0.1818,0.3857,2,REPLAY_ATTACK,REPLAY_ATTACK
2026-05-15T14:30:45.208Z,2026-05-15T14:31:45.208Z,esp32_1,7,0.1167,9234.33,3063.72,6096.0,13675.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:30:52.535Z,2026-05-15T14:31:52.535Z,esp32_2,5,0.0833,9873.75,2260.55,6296.0,12483.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:30:54.603Z,2026-05-15T14:31:54.603Z,esp32_3,26,0.4333,2300.36,1857.98,830.0,5965.0,0.6538,0.32,0.4665,2,REPLAY_ATTACK,REPLAY_ATTACK
2026-05-15T14:30:55.208Z,2026-05-15T14:31:55.208Z,esp32_1,7,0.1167,8872.17,2612.6,6096.0,13097.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:31:02.535Z,2026-05-15T14:32:02.535Z,esp32_2,6,0.1,9849.2,2022.5,6296.0,12483.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:31:04.603Z,2026-05-15T14:32:04.603Z,esp32_3,19,0.3167,3186.61,2115.96,886.0,5965.0,0.4211,0.5556,0.4969,2,NORMAL,NORMAL
2026-05-15T14:31:05.208Z,2026-05-15T14:32:05.208Z,esp32_1,7,0.1167,7785.0,1883.92,6096.0,11502.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:31:12.535Z,2026-05-15T14:32:12.535Z,esp32_2,6,0.1,10186.6,2145.16,6296.0,12483.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:31:14.603Z,2026-05-15T14:32:14.603Z,esp32_3,12,0.2,4924.91,1357.24,950.0,5965.0,0.0,1.0,0.0,2,NORMAL,NORMAL
2026-05-15T14:31:15.208Z,2026-05-15T14:32:15.208Z,esp32_1,7,0.1167,9088.0,2763.45,6574.0,13914.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:31:22.535Z,2026-05-15T14:32:22.535Z,esp32_2,6,0.1,9698.0,2229.99,6296.0,12483.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:31:24.603Z,2026-05-15T14:32:24.603Z,esp32_3,12,0.2,5203.36,625.88,4028.0,5922.0,0.0,1.0,0.0,1,NORMAL,NORMAL
2026-05-15T14:31:25.208Z,2026-05-15T14:32:25.208Z,esp32_1,6,0.1,9555.6,2802.16,6574.0,13914.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:31:32.535Z,2026-05-15T14:32:32.535Z,esp32_2,6,0.1,10774.2,1511.03,8341.0,12483.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:31:34.603Z,2026-05-15T14:32:34.603Z,esp32_3,11,0.1833,5274.2,592.59,4028.0,5922.0,0.0,1.0,0.0,1,NORMAL,NORMAL
2026-05-15T14:31:35.208Z,2026-05-15T14:32:35.208Z,esp32_1,5,0.0833,11114.0,2758.17,6574.0,13914.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:31:42.535Z,2026-05-15T14:32:42.535Z,esp32_2,6,0.1,10454.2,1264.59,8341.0,11677.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:31:44.603Z,2026-05-15T14:32:44.603Z,esp32_3,11,0.1833,5125.1,662.78,4028.0,5883.0,0.0,1.0,0.0,1,NORMAL,NORMAL
